Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To
Accel. Lat,m/s2,(x - 127) / 10,%01.2f,0xd0004cb8,1,FALSE,-10,10,-1000,1000,0.8,TRUE,Default|ROUND|8,
Accel. Long,m/s2,(x - 512) / 32,%01.2f,0xd001003c,2,FALSE,-10,10,-1000,1000,0.4,TRUE,,accel_long
Airmass,g/stk,x * 1000,%01.2f,0xd0006bc0,4,FALSE,0,2,-100,1000,0,TRUE,Airflow,
Airmass SP,g/stk,x * 1000,%01.2f,0xd0006c08,4,FALSE,0,2,-100,1000,0,TRUE,Airflow,
Ambient Press,kpa,x / 120.60176665,%01.2f,0xd0012af2,2,FALSE,0,110,0,120,0.9,TRUE,Misc,amb_press
Ambient Temp,°C,(x - 64) / 1.33,%01.2f,0xd000e423,1,FALSE,-25,45,-100,100,0.9,TRUE,Misc,
Battery Volts,V,x / 51.2,%01.1f,0xd00155c6,2,TRUE,10,15,7,16,0.7,TRUE,Misc,
Boost,psi,(map - amb_press) * 0.145077,%01.1f,0xffffffff,1,FALSE,-15,35,-15,35,0,TRUE,Airflow.Default|ROUND|0,
Calc TQ,nm,tq,%01.0f,0xffffffff,1,FALSE,0,500,-1000,1000,0,TRUE,Power,
Calc HP,hp,hp,%01.0f,0xffffffff,1,FALSE,0,300,-1000,1000,0,TRUE,Power.Default|BAR_V|2,
Comb Mode,,x,%01.2f,0xd000b7de,1,FALSE,-10,10,-100,100,0,TRUE,,
Coolant Temp,°C,(x - 64) / 1.33,%01.0f,0xd000c28f,1,FALSE,-50,130,-100,150,0.8,TRUE,Misc,
Cruise,,x,%01.0f,0xd001b405,1,FALSE,0,1,-1000,1000,0,TRUE,,cruise
DV Position,%,x / 655.36,%01.1f,0xd00120d2,2,FALSE,0,100,-1000,5000,0,TRUE,,
EOI Actual,°,x / 2.6666666667,%01.0f,0xd001299e,2,FALSE,0,720,-1000,1000,0,TRUE,,
EOI Limit,°,x / 2.6666666667,%01.0f,0xd0012996,2,FALSE,0,720,-1000,1000,0,TRUE,,
Engine Speed,rpm,x,%01.0f,0xd0012582,2,FALSE,0,7000,-1,6000,0,TRUE,Default|ROUND|1.WG.Fuel.Airflow.Ignition.Power,rpm
Eth Content,%,x / 2.55,%01.0f,0xd000f0cf,1,FALSE,0,100,-100,100,0,TRUE,,
Exh Cam Position,°,x / 128,%01.1f,0xd0013484,2,TRUE,-45,45,-100,100,0,TRUE,,
Exh Flow Factor,,x / 16384,%01.2f,0xd001211e,2,FALSE,0,1.5,-1,10,0,TRUE,,
Exh Pres Desired,kpa,x / 120.60176665,%01.0f,0xd00121ce,2,FALSE,0,500,-100,1000,0,TRUE,,
FP DI,kpa,x / 1.884402603,%01.0f,0xd0011e26,2,FALSE,0,28000,0,28000,0,TRUE,Fuel,
FP DI SP,kpa,x / 1.8844026039,%01.0f,0xd0011e06,2,FALSE,0,28000,-1000,30000,0,TRUE,Fuel,
FP MPI,kpa,x / 3.7688052079,%01.0f,0xd0011d92,2,FALSE,0,1500,-1000,2000,0,TRUE,Fuel,
